date,amount,account_id,transaction_type,branch_code,description,counterparty_id
2025-10-04 17:37,2820.9,SA-1049,حوالة دولية,BRH-009,دفع مورد خارجي,EXT-BANK-34
2025-10-04 18:55,4220.55,SA-1032,POS نقاط بيع,BRH-007,دفع إلكتروني,MER-1005
2025-10-05 10:51,3228.35,SA-1032,POS نقاط بيع,BRH-006,دفع إلكتروني,MER-1037
2025-10-05 16:24,2517.08,SA-1001,تحويل داخلي,BRH-005,تحويل راتب,SA-2216
2025-10-06 15:26,38430.78,SA-1048,تحويل داخلي,BRH-007,تحويل عميل,SA-2016
2025-10-06 19:09,25470.25,SA-1034,نظام سريع - SARIE,BRH-008,دفع عبر سريع,SA-3007
2025-10-06 19:39,48228.18,SA-1003,إيداع نقدي,BRH-002,إيداع نقدي فرع,CASH-DESK
2025-10-07 10:02,229515.58,SA-1017,POS نقاط بيع,BRH-002,دفع إلكتروني,MER-1005
2025-10-07 15:31,259534.14,SA-1047,سحب نقدي,BRH-002,سحب عداد,ATM-NETWORK
2025-10-07 19:38,988.96,SA-1034,تحويل داخلي,BRH-001,سداد مديونية,SA-2111
2025-10-08 09:38,1208.86,SA-1032,إيداع نقدي,BRH-008,إيداع ماكينة,CASH-DESK
2025-10-08 14:17,23626.86,SA-1024,إيداع نقدي,BRH-008,إيداع نقدي فرع,CASH-DESK
2025-10-08 16:58,14622.39,SA-1013,حوالة دولية,BRH-004,تحويل دولي,EXT-BANK-14
2025-10-08 17:01,30234.98,SA-1020,إيداع نقدي,BRH-005,إيداع نقدي فرع,CASH-DESK
2025-10-08 17:24,127114.91,SA-1044,نظام سريع - SARIE,BRH-009,تسوية فورية,SA-3129
2025-10-08 17:42,673.44,SA-1001,سحب نقدي,BRH-006,سحب عداد,ATM-NETWORK
2025-10-08 19:28,4970.94,SA-1050,تحويل داخلي,BRH-007,تحويل عميل,SA-2013
2025-10-08 19:53,10883.83,SA-1004,تحويل داخلي,BRH-002,تحويل راتب,SA-2287
2025-10-09 08:54,25228.95,SA-1022,POS نقاط بيع,BRH-004,شراء بنقطة بيع,MER-1012
2025-10-09 09:24,1584.17,SA-1010,إيداع نقدي,BRH-010,إيداع نقدي فرع,CASH-DESK
2025-10-09 10:32,504.8,SA-1039,POS نقاط بيع,BRH-008,دفع إلكتروني,MER-1045
2025-10-09 13:05,1235.26,SA-1028,تحويل داخلي,BRH-007,تحويل عميل,SA-2279
2025-10-09 13:10,25010.96,SA-1006,نظام سريع - SARIE,BRH-001,دفع عبر سريع,SA-3107
2025-10-09 13:24,3452.33,SA-1009,تحويل داخلي,BRH-003,تحويل عميل,SA-2112
2025-10-09 14:57,18275.86,SA-1007,POS نقاط بيع,BRH-004,دفع إلكتروني,MER-1028
2025-10-09 17:05,241189.17,SA-1041,POS نقاط بيع,BRH-003,دفع إلكتروني,MER-1037
2025-10-09 19:11,4588.74,SA-1028,تحويل داخلي,BRH-010,تحويل راتب,SA-2142
2025-10-09 19:23,1787.21,SA-1013,تحويل داخلي,BRH-003,تحويل راتب,SA-2003
2025-10-10 11:00,3605.57,SA-1036,حوالة دولية,BRH-008,دفع مورد خارجي,EXT-BANK-10
2025-10-10 13:16,4082.27,SA-1044,POS نقاط بيع,BRH-003,شراء بنقطة بيع,MER-1044
2025-10-10 13:48,151069.11,SA-1036,تحويل داخلي,BRH-006,سداد مديونية,SA-2216
2025-10-10 19:06,3853.42,SA-1031,إيداع نقدي,BRH-008,إيداع نقدي فرع,CASH-DESK
2025-10-10 19:43,3058.56,SA-1013,إيداع نقدي,BRH-001,إيداع نقدي فرع,CASH-DESK
2025-10-11 11:00,3510.26,SA-1004,سحب نقدي,BRH-003,سحب عداد,ATM-NETWORK
2025-10-11 14:27,223192.89,SA-1019,POS نقاط بيع,BRH-002,شراء بنقطة بيع,MER-1021
2025-10-11 15:46,31210.01,SA-1047,تحويل داخلي,BRH-005,تحويل راتب,SA-2142
2025-10-11 16:26,3523.34,SA-1015,سحب نقدي,BRH-004,سحب عداد,ATM-NETWORK
2025-10-11 18:54,1863.34,SA-1008,إيداع نقدي,BRH-005,إيداع نقدي فرع,CASH-DESK
2025-10-12 08:12,1130.25,SA-1012,تحويل داخلي,BRH-001,تحويل عميل,SA-2079
2025-10-12 11:14,4919.65,SA-1035,نظام سريع - SARIE,BRH-005,دفع عبر سريع,SA-3055
2025-10-12 11:37,38712.84,SA-1005,POS نقاط بيع,BRH-002,شراء بنقطة بيع,MER-1048
2025-10-12 12:53,6754.07,SA-1005,سحب نقدي,BRH-006,سحب من الصراف الآلي,ATM-NETWORK
2025-10-12 14:50,44856.73,SA-1004,تحويل داخلي,BRH-004,تحويل عميل,SA-2172
2025-10-12 17:14,900.69,SA-1017,نظام سريع - SARIE,BRH-009,تسوية فورية,SA-3026
2025-10-12 17:19,722.57,SA-1014,تحويل داخلي,BRH-003,تحويل راتب,SA-2047
2025-10-12 17:59,2657.38,SA-1030,سحب نقدي,BRH-005,سحب من الصراف الآلي,ATM-NETWORK
2025-10-12 19:59,11603.45,SA-1032,نظام سريع - SARIE,BRH-002,دفع عبر سريع,SA-3097
2025-10-13 08:07,130040.24,SA-1029,تحويل داخلي,BRH-006,سداد مديونية,SA-2049
2025-10-13 09:33,4112.24,SA-1005,POS نقاط بيع,BRH-008,دفع إلكتروني,MER-1022
2025-10-13 10:38,4673.77,SA-1002,تحويل داخلي,BRH-006,تحويل عميل,SA-2176
2025-10-13 13:08,3565.98,SA-1032,حوالة دولية,BRH-009,تحويل عائلي,EXT-BANK-38
2025-10-13 17:24,4009.41,SA-1004,حوالة دولية,BRH-002,دفع مورد خارجي,EXT-BANK-16
2025-10-13 18:05,4017.91,SA-1033,تحويل داخلي,BRH-010,تحويل راتب,SA-2022
2025-10-13 19:00,998.26,SA-1028,تحويل داخلي,BRH-007,تحويل راتب,SA-2235
2025-10-14 09:30,1691.63,SA-1008,إيداع نقدي,BRH-004,إيداع نقدي فرع,CASH-DESK
2025-10-14 10:15,2603.68,SA-1012,تحويل داخلي,BRH-007,تحويل عميل,SA-2274
2025-10-14 11:57,220473.98,SA-1035,تحويل داخلي,BRH-005,تحويل عميل,SA-2063
2025-10-14 16:20,1334.19,SA-1004,حوالة دولية,BRH-002,تحويل دولي,EXT-BANK-24
2025-10-14 16:54,784.98,SA-1043,نظام سريع - SARIE,BRH-001,تسوية فورية,SA-3020
2025-10-14 17:40,12531.42,SA-1035,POS نقاط بيع,BRH-003,دفع إلكتروني,MER-1035
2025-10-14 18:24,25362.86,SA-1002,تحويل داخلي,BRH-008,تحويل عميل,SA-2150
2025-10-15 09:20,4709.94,SA-1033,إيداع نقدي,BRH-005,إيداع نقدي فرع,CASH-DESK
2025-10-15 10:38,2850.13,SA-1007,POS نقاط بيع,BRH-001,دفع إلكتروني,MER-1053
2025-10-15 12:38,4747.09,SA-1001,تحويل داخلي,BRH-006,سداد مديونية,SA-2185
2025-10-15 14:00,2837.97,SA-1022,حوالة دولية,BRH-005,تحويل دولي,EXT-BANK-36
2025-10-15 15:01,3865.96,SA-1015,تحويل داخلي,BRH-009,سداد مديونية,SA-2098
2025-10-15 16:43,4884.88,SA-1047,POS نقاط بيع,BRH-008,شراء بنقطة بيع,MER-1045
2025-10-15 18:43,4868.98,SA-1035,تحويل داخلي,BRH-006,تحويل عميل,SA-2035
2025-10-16 09:01,2945.73,SA-1041,حوالة دولية,BRH-006,تحويل عائلي,EXT-BANK-02
2025-10-16 16:04,4153.95,SA-1029,سحب نقدي,BRH-005,سحب من الصراف الآلي,ATM-NETWORK
2025-10-16 16:46,1408.4,SA-1041,تحويل داخلي,BRH-008,تحويل راتب,SA-2116
2025-10-16 17:17,4606.02,SA-1018,سحب نقدي,BRH-002,سحب عداد,ATM-NETWORK
2025-10-16 18:35,607.87,SA-1033,تحويل داخلي,BRH-006,تحويل عميل,SA-2148
2025-10-17 09:52,4712.8,SA-1040,تحويل داخلي,BRH-001,تحويل راتب,SA-2040
2025-10-17 09:59,1563.62,SA-1030,تحويل داخلي,BRH-009,سداد مديونية,SA-2119
2025-10-17 12:28,3910.6,SA-1013,حوالة دولية,BRH-004,دفع مورد خارجي,EXT-BANK-06
2025-10-17 13:51,1511.1,SA-1022,تحويل داخلي,BRH-005,سداد مديونية,SA-2194
2025-10-17 15:31,4019.95,SA-1035,نظام سريع - SARIE,BRH-005,دفع عبر سريع,SA-3071
2025-10-17 17:08,4428.1,SA-1006,تحويل داخلي,BRH-006,تحويل عميل,SA-2232
2025-10-18 08:57,2202.43,SA-1007,تحويل داخلي,BRH-006,سداد مديونية,SA-2186
2025-10-18 09:42,4724.62,SA-1002,تحويل داخلي,BRH-004,سداد مديونية,SA-2083
2025-10-18 13:04,76037.87,SA-1040,تحويل داخلي,BRH-004,تحويل عميل,SA-2189
2025-10-18 19:21,3055.7,SA-1004,POS نقاط بيع,BRH-005,شراء بنقطة بيع,MER-1022
2025-10-18 19:44,282399.74,SA-1030,سحب نقدي,BRH-001,سحب عداد,ATM-NETWORK
2025-10-19 08:10,62937.44,SA-1029,إيداع نقدي,BRH-004,إيداع ماكينة,CASH-DESK
2025-10-19 11:06,2109.57,SA-1006,POS نقاط بيع,BRH-004,دفع إلكتروني,MER-1013
2025-10-19 17:58,1493.59,SA-1046,نظام سريع - SARIE,BRH-006,تسوية فورية,SA-3068
2025-10-20 10:26,1222.65,SA-1040,POS نقاط بيع,BRH-010,دفع إلكتروني,MER-1044
2025-10-21 08:04,1691.2,SA-1028,حوالة دولية,BRH-001,تحويل دولي,EXT-BANK-04
2025-10-21 08:42,3862.71,SA-1007,تحويل داخلي,BRH-008,تحويل راتب,SA-2087
2025-10-21 10:46,1089.01,SA-1048,POS نقاط بيع,BRH-008,دفع إلكتروني,MER-1034
2025-10-21 14:42,797.36,SA-1036,تحويل داخلي,BRH-004,تحويل راتب,SA-2125
2025-10-21 17:16,4127.86,SA-1014,نظام سريع - SARIE,BRH-006,دفع عبر سريع,SA-3041
2025-10-22 08:14,2169.11,SA-1006,سحب نقدي,BRH-001,سحب من الصراف الآلي,ATM-NETWORK
2025-10-22 09:45,15006.56,SA-1007,إيداع نقدي,BRH-007,إيداع ماكينة,CASH-DESK
2025-10-22 10:44,3432.51,SA-1013,سحب نقدي,BRH-001,سحب من الصراف الآلي,ATM-NETWORK
2025-10-22 11:39,4526.1,SA-1049,تحويل داخلي,BRH-008,تحويل راتب,SA-2236
2025-10-22 12:14,237128.62,SA-1039,إيداع نقدي,BRH-001,إيداع ماكينة,CASH-DESK
2025-10-22 16:48,3056.75,SA-1048,إيداع نقدي,BRH-007,إيداع ماكينة,CASH-DESK
2025-10-23 19:20,3188.28,SA-1037,تحويل داخلي,BRH-006,تحويل عميل,SA-2194
2025-10-24 08:30,3672.63,SA-1001,تحويل داخلي,BRH-008,تحويل راتب,SA-2138
2025-10-24 11:20,571.12,SA-1021,حوالة دولية,BRH-010,تحويل عائلي,EXT-BANK-35
2025-10-24 16:35,769.21,SA-1015,حوالة دولية,BRH-009,تحويل دولي,EXT-BANK-14
2025-10-24 17:34,3053.52,SA-1028,نظام سريع - SARIE,BRH-008,دفع عبر سريع,SA-3083
2025-10-24 19:23,24791.41,SA-1002,إيداع نقدي,BRH-005,إيداع نقدي فرع,CASH-DESK
2025-10-25 11:50,3987.09,SA-1046,POS نقاط بيع,BRH-009,شراء بنقطة بيع,MER-1053
2025-10-25 13:49,3748.58,SA-1010,إيداع نقدي,BRH-001,إيداع ماكينة,CASH-DESK
2025-10-25 15:46,2650.76,SA-1019,حوالة دولية,BRH-005,تحويل عائلي,EXT-BANK-03
2025-10-25 17:14,2614.8,SA-1017,حوالة دولية,BRH-007,تحويل عائلي,EXT-BANK-14
2025-10-25 19:06,1897.94,SA-1038,POS نقاط بيع,BRH-010,دفع إلكتروني,MER-1052
2025-10-25 19:46,3754.01,SA-1050,حوالة دولية,BRH-001,تحويل دولي,EXT-BANK-02
2025-10-26 09:44,2050.88,SA-1032,POS نقاط بيع,BRH-008,شراء بنقطة بيع,MER-1051
2025-10-26 10:17,13006.06,SA-1027,تحويل داخلي,BRH-009,سداد مديونية,SA-2161
2025-10-26 10:21,4609.78,SA-1025,تحويل داخلي,BRH-010,سداد مديونية,SA-2205
2025-10-26 12:28,2185.09,SA-1003,تحويل داخلي,BRH-001,تحويل عميل,SA-2137
2025-10-26 14:49,230054.01,SA-1007,إيداع نقدي,BRH-008,إيداع ماكينة,CASH-DESK
2025-10-26 16:19,4916.24,SA-1048,تحويل داخلي,BRH-004,تحويل راتب,SA-2033
2025-10-26 19:09,3349.17,SA-1026,تحويل داخلي,BRH-009,سداد مديونية,SA-2108
2025-10-27 08:51,1730.43,SA-1014,سحب نقدي,BRH-009,سحب عداد,ATM-NETWORK
2025-10-27 12:27,4102.63,SA-1015,تحويل داخلي,BRH-003,سداد مديونية,SA-2290
2025-10-27 12:38,4755.62,SA-1038,حوالة دولية,BRH-003,تحويل دولي,EXT-BANK-20
2025-10-27 14:09,39218.98,SA-1004,حوالة دولية,BRH-009,دفع مورد خارجي,EXT-BANK-13
2025-10-27 18:41,289774.02,SA-1024,سحب نقدي,BRH-010,سحب عداد,ATM-NETWORK
2025-10-27 19:57,4840.33,SA-1038,تحويل داخلي,BRH-007,تحويل راتب,SA-2255
2025-10-28 09:23,1810.98,SA-1025,حوالة دولية,BRH-010,تحويل عائلي,EXT-BANK-25
2025-10-28 14:20,43273.44,SA-1027,حوالة دولية,BRH-004,تحويل عائلي,EXT-BANK-29
2025-10-28 14:31,2345.22,SA-1024,إيداع نقدي,BRH-005,إيداع نقدي فرع,CASH-DESK
2025-10-28 15:13,2426.76,SA-1045,إيداع نقدي,BRH-002,إيداع ماكينة,CASH-DESK
2025-10-28 15:32,4421.34,SA-1041,تحويل داخلي,BRH-009,تحويل راتب,SA-2073
2025-10-28 16:35,3006.51,SA-1007,POS نقاط بيع,BRH-006,شراء بنقطة بيع,MER-1016
2025-10-28 17:33,903.89,SA-1001,حوالة دولية,BRH-002,تحويل دولي,EXT-BANK-08
2025-10-28 18:50,4039.92,SA-1025,سحب نقدي,BRH-010,سحب من الصراف الآلي,ATM-NETWORK
2025-10-29 09:32,48625.64,SA-1029,تحويل داخلي,BRH-003,تحويل راتب,SA-2126
2025-10-29 11:22,118289.14,SA-1041,POS نقاط بيع,BRH-002,دفع إلكتروني,MER-1047
2025-10-29 13:00,33819.76,SA-1012,إيداع نقدي,BRH-002,إيداع ماكينة,CASH-DESK
2025-10-29 14:37,12328.54,SA-1047,تحويل داخلي,BRH-002,تحويل راتب,SA-2287
2025-10-29 16:14,1288.31,SA-1005,تحويل داخلي,BRH-007,تحويل عميل,SA-2275
2025-10-29 16:29,1378.33,SA-1005,إيداع نقدي,BRH-007,إيداع نقدي فرع,CASH-DESK
2025-10-29 18:35,3934.2,SA-1016,إيداع نقدي,BRH-007,إيداع نقدي فرع,CASH-DESK
2025-10-29 18:59,4434.5,SA-1050,تحويل داخلي,BRH-009,تحويل راتب,SA-2134
2025-10-30 09:29,229587.64,SA-1026,نظام سريع - SARIE,BRH-005,تسوية فورية,SA-3149
2025-10-30 12:04,3095.87,SA-1010,سحب نقدي,BRH-009,سحب من الصراف الآلي,ATM-NETWORK
2025-10-30 13:45,239018.82,SA-1034,حوالة دولية,BRH-006,دفع مورد خارجي,EXT-BANK-27
2025-10-30 16:50,6390.18,SA-1033,إيداع نقدي,BRH-005,إيداع نقدي فرع,CASH-DESK
2025-10-31 08:06,23957.61,SA-1033,إيداع نقدي,BRH-006,إيداع ماكينة,CASH-DESK
2025-10-31 09:41,49708.51,SA-1037,POS نقاط بيع,BRH-004,دفع إلكتروني,MER-1057
2025-10-31 13:43,2842.06,SA-1034,تحويل داخلي,BRH-008,سداد مديونية,SA-2298
2025-10-31 15:31,4814.18,SA-1005,تحويل داخلي,BRH-002,تحويل عميل,SA-2204
2025-11-01 12:39,2178.77,SA-1004,إيداع نقدي,BRH-003,إيداع ماكينة,CASH-DESK
2025-11-01 13:25,3135.97,SA-1002,حوالة دولية,BRH-008,دفع مورد خارجي,EXT-BANK-23
2025-11-01 15:43,111816.77,SA-1027,تحويل داخلي,BRH-001,تحويل عميل,SA-2112
2025-11-02 09:14,7484.45,SA-1014,سحب نقدي,BRH-006,سحب من الصراف الآلي,ATM-NETWORK
2025-11-02 09:33,4371.27,SA-1033,POS نقاط بيع,BRH-006,دفع إلكتروني,MER-1008
2025-11-02 16:22,191936.4,SA-1044,تحويل داخلي,BRH-004,تحويل راتب,SA-2260
2025-11-02 19:14,159282.01,SA-1015,إيداع نقدي,BRH-007,إيداع ماكينة,CASH-DESK
2025-11-02 19:50,661.54,SA-1002,حوالة دولية,BRH-004,دفع مورد خارجي,EXT-BANK-31
2025-11-03 09:25,2383.95,SA-1031,سحب نقدي,BRH-004,سحب عداد,ATM-NETWORK
2025-11-03 10:29,4335.72,SA-1046,POS نقاط بيع,BRH-007,دفع إلكتروني,MER-1005
2025-11-03 14:44,1389.5,SA-1048,تحويل داخلي,BRH-006,سداد مديونية,SA-2024
2025-11-03 17:53,47408.19,SA-1029,تحويل داخلي,BRH-008,سداد مديونية,SA-2056
2025-11-03 18:07,26590.93,SA-1005,POS نقاط بيع,BRH-007,دفع إلكتروني,MER-1009
2025-11-04 08:21,863.31,SA-1038,نظام سريع - SARIE,BRH-001,تسوية فورية,SA-3040
2025-11-04 10:40,865.19,SA-1025,POS نقاط بيع,BRH-005,دفع إلكتروني,MER-1050
2025-11-04 15:22,2339.01,SA-1014,POS نقاط بيع,BRH-001,شراء بنقطة بيع,MER-1043
2025-11-05 15:54,1349.76,SA-1011,إيداع نقدي,BRH-004,إيداع نقدي فرع,CASH-DESK
2025-11-06 08:23,8333.17,SA-1024,POS نقاط بيع,BRH-001,شراء بنقطة بيع,MER-1027
2025-11-06 08:31,1018.97,SA-1014,POS نقاط بيع,BRH-010,شراء بنقطة بيع,MER-1038
2025-11-06 08:32,40226.93,SA-1036,تحويل داخلي,BRH-007,تحويل عميل,SA-2032
2025-11-06 11:11,8233.27,SA-1004,حوالة دولية,BRH-005,تحويل دولي,EXT-BANK-24
2025-11-06 15:05,1718.14,SA-1048,تحويل داخلي,BRH-009,سداد مديونية,SA-2195
2025-11-06 17:17,4269.73,SA-1041,إيداع نقدي,BRH-006,إيداع نقدي فرع,CASH-DESK
2025-11-07 09:25,1322.64,SA-1007,نظام سريع - SARIE,BRH-004,دفع عبر سريع,SA-3119
2025-11-07 13:47,1733.6,SA-1040,حوالة دولية,BRH-005,تحويل دولي,EXT-BANK-33
2025-11-07 15:53,3973.32,SA-1002,تحويل داخلي,BRH-008,تحويل راتب,SA-2128
2025-11-07 18:58,4890.81,SA-1009,حوالة دولية,BRH-004,دفع مورد خارجي,EXT-BANK-35
2025-11-07 19:11,1779.79,SA-1031,سحب نقدي,BRH-004,سحب من الصراف الآلي,ATM-NETWORK
2025-11-08 09:35,28932.07,SA-1041,حوالة دولية,BRH-007,دفع مورد خارجي,EXT-BANK-00
2025-11-08 09:47,4437.88,SA-1046,POS نقاط بيع,BRH-001,دفع إلكتروني,MER-1043
2025-11-08 16:35,2261.78,SA-1005,حوالة دولية,BRH-004,تحويل دولي,EXT-BANK-07
2025-11-09 08:27,728.75,SA-1023,إيداع نقدي,BRH-005,إيداع نقدي فرع,CASH-DESK
2025-11-09 09:23,27257.01,SA-1036,إيداع نقدي,BRH-006,إيداع ماكينة,CASH-DESK
2025-11-09 10:42,4397.65,SA-1005,POS نقاط بيع,BRH-001,شراء بنقطة بيع,MER-1043
2025-11-09 11:33,16102.63,SA-1003,سحب نقدي,BRH-006,سحب من الصراف الآلي,ATM-NETWORK
2025-11-09 12:18,26265.02,SA-1031,إيداع نقدي,BRH-005,إيداع ماكينة,CASH-DESK
2025-11-09 15:25,2268.13,SA-1040,تحويل داخلي,BRH-005,تحويل عميل,SA-2274
2025-11-09 16:08,11078.59,SA-1043,POS نقاط بيع,BRH-008,دفع إلكتروني,MER-1048
2025-11-09 16:10,2721.52,SA-1032,POS نقاط بيع,BRH-004,دفع إلكتروني,MER-1017
2025-11-09 16:38,982.91,SA-1025,تحويل داخلي,BRH-004,تحويل عميل,SA-2174
2025-11-09 17:40,736.59,SA-1036,حوالة دولية,BRH-006,دفع مورد خارجي,EXT-BANK-07
2025-11-09 18:20,27704.54,SA-1018,تحويل داخلي,BRH-004,تحويل راتب,SA-2150
2025-11-09 18:53,1583.39,SA-1043,حوالة دولية,BRH-006,تحويل عائلي,EXT-BANK-27
2025-11-10 09:31,1463.42,SA-1016,تحويل داخلي,BRH-009,تحويل راتب,SA-2080
2025-11-10 10:03,4140.36,SA-1032,إيداع نقدي,BRH-008,إيداع ماكينة,CASH-DESK
2025-11-10 11:02,2687.86,SA-1017,POS نقاط بيع,BRH-004,شراء بنقطة بيع,MER-1029
2025-11-10 13:31,784.03,SA-1011,سحب نقدي,BRH-006,سحب من الصراف الآلي,ATM-NETWORK
2025-11-10 13:35,3544.94,SA-1048,POS نقاط بيع,BRH-002,شراء بنقطة بيع,MER-1000
2025-11-10 17:30,2065.55,SA-1014,تحويل داخلي,BRH-001,سداد مديونية,SA-2134
2025-11-10 19:59,4839.68,SA-1028,سحب نقدي,BRH-008,سحب عداد,ATM-NETWORK
2025-11-11 13:50,680.43,SA-1018,نظام سريع - SARIE,BRH-006,تسوية فورية,SA-3128
2025-11-11 14:36,4545.15,SA-1046,تحويل داخلي,BRH-004,سداد مديونية,SA-2091
2025-11-11 15:52,698.79,SA-1023,إيداع نقدي,BRH-002,إيداع ماكينة,CASH-DESK
2025-11-11 16:37,20009.75,SA-1029,إيداع نقدي,BRH-006,إيداع نقدي فرع,CASH-DESK
2025-11-11 18:42,3032.03,SA-1014,POS نقاط بيع,BRH-009,شراء بنقطة بيع,MER-1032
2025-11-11 19:18,1028.77,SA-1015,سحب نقدي,BRH-009,سحب من الصراف الآلي,ATM-NETWORK
2025-11-11 19:22,20077.11,SA-1002,POS نقاط بيع,BRH-010,دفع إلكتروني,MER-1058
2025-11-12 08:25,925.88,SA-1009,POS نقاط بيع,BRH-003,شراء بنقطة بيع,MER-1006
2025-11-12 09:06,6914.83,SA-1041,تحويل داخلي,BRH-004,تحويل راتب,SA-2152
2025-11-12 12:02,4976.67,SA-1007,تحويل داخلي,BRH-010,تحويل عميل,SA-2259
2025-11-12 15:31,19859.06,SA-1015,تحويل داخلي,BRH-006,سداد مديونية,SA-2101
2025-11-12 15:42,1561.99,SA-1048,POS نقاط بيع,BRH-007,دفع إلكتروني,MER-1009
2025-11-12 17:03,28908.17,SA-1035,تحويل داخلي,BRH-006,تحويل راتب,SA-2191
2025-11-12 17:06,4189.14,SA-1041,تحويل داخلي,BRH-007,تحويل راتب,SA-2082
2025-11-12 18:53,1941.79,SA-1001,POS نقاط بيع,BRH-002,شراء بنقطة بيع,MER-1034
2025-11-12 19:40,3376.63,SA-1028,تحويل داخلي,BRH-006,تحويل عميل,SA-2271
2025-11-13 11:44,4378.16,SA-1017,إيداع نقدي,BRH-005,إيداع نقدي فرع,CASH-DESK
2025-11-13 16:44,282865.48,SA-1015,نظام سريع - SARIE,BRH-008,تسوية فورية,SA-3000
2025-11-13 19:58,1943.3,SA-1040,تحويل داخلي,BRH-001,تحويل راتب,SA-2165
2025-11-14 09:25,92579.77,SA-1008,سحب نقدي,BRH-007,سحب عداد,ATM-NETWORK
2025-11-14 09:44,1345.57,SA-1018,نظام سريع - SARIE,BRH-007,تسوية فورية,SA-3125
2025-11-14 11:17,46745.08,SA-1031,حوالة دولية,BRH-007,دفع مورد خارجي,EXT-BANK-01
2025-11-14 11:36,2322.47,SA-1026,حوالة دولية,BRH-001,تحويل دولي,EXT-BANK-07
2025-11-14 13:25,17376.4,SA-1047,تحويل داخلي,BRH-001,تحويل عميل,SA-2185
2025-11-14 15:13,48701.08,SA-1022,تحويل داخلي,BRH-010,تحويل عميل,SA-2157
2025-11-14 15:47,33198.76,SA-1001,سحب نقدي,BRH-005,سحب من الصراف الآلي,ATM-NETWORK
2025-11-14 16:28,67965.54,SA-1049,حوالة دولية,BRH-007,دفع مورد خارجي,EXT-BANK-15
2025-11-14 19:07,2123.41,SA-1023,تحويل داخلي,BRH-009,تحويل عميل,SA-2029
2025-11-15 09:10,9100.0,SA-9001,تحويل داخلي,BRH-003,تحويل عميل - دفعة متعددة,SA-7010
2025-11-15 09:29,2312.96,SA-1024,حوالة دولية,BRH-002,دفع مورد خارجي,EXT-BANK-15
2025-11-15 10:35,9300.0,SA-9001,تحويل داخلي,BRH-003,تحويل عميل - دفعة متعددة,SA-7010
2025-11-15 11:50,9500.0,SA-9001,تحويل داخلي,BRH-003,تحويل عميل - دفعة متعددة,SA-7010
2025-11-15 12:17,1670.83,SA-1020,إيداع نقدي,BRH-002,إيداع نقدي فرع,CASH-DESK
2025-11-15 12:56,2412.41,SA-1005,POS نقاط بيع,BRH-001,شراء بنقطة بيع,MER-1056
2025-11-15 14:20,9700.0,SA-9001,تحويل داخلي,BRH-003,تحويل عميل - دفعة متعددة,SA-7010
2025-11-15 14:38,1128.31,SA-1037,إيداع نقدي,BRH-003,إيداع ماكينة,CASH-DESK
2025-11-15 15:12,3390.14,SA-1004,تحويل داخلي,BRH-010,سداد مديونية,SA-2290
2025-11-15 15:45,9200.0,SA-9001,تحويل داخلي,BRH-003,تحويل عميل - دفعة متعددة,SA-7010
2025-11-15 16:38,1690.69,SA-1048,تحويل داخلي,BRH-008,سداد مديونية,SA-2040
2025-11-15 18:45,3899.93,SA-1042,تحويل داخلي,BRH-005,تحويل راتب,SA-2043
2025-11-16 09:01,2315.09,SA-1047,حوالة دولية,BRH-003,تحويل عائلي,EXT-BANK-31
